algo,cluster_id,lat,long,n_points
dbscan,2.0,45.84120034939759,4.799387361445783,83
dbscan,3.0,45.698144615384614,4.941260538461539,13
dbscan,4.0,45.83138152511415,4.879024164383562,219
dbscan,5.0,45.731334957617406,4.734656293241696,873
dbscan,6.0,45.77922099248121,4.922833218045112,133
dbscan,7.0,45.705616,4.888630892857143,28
dbscan,8.0,45.817041441527444,4.895501792362769,419
dbscan,9.0,45.808383125,4.77962975,16
dbscan,10.0,45.7306444263904,4.951865455288986,3668
dbscan,11.0,45.699947438709685,4.766385077419356,465
dbscan,12.0,45.80217502083334,4.960094428571428,336
dbscan,13.0,45.804958380952385,4.938315267857143,168
dbscan,14.0,45.67388868072289,4.858698198795181,166
dbscan,15.0,45.72233846268657,4.761091104477612,67
dbscan,16.0,45.78234758333334,4.98861725,12
dbscan,17.0,45.779219777777776,4.979491722222223,72
dbscan,18.0,45.69897942168675,4.847232566265061,83
dbscan,19.0,45.68979062903226,4.786842677419354,62
dbscan,20.0,45.665954444444445,4.8412268888888885,18
dbscan,21.0,45.798217323529414,4.805543794117646,34
dbscan,22.0,45.726054999999995,4.940006418181818,55
dbscan,23.0,45.69467316666667,4.8677266054421775,294
dbscan,24.0,45.8143115058548,4.766975388758782,427
dbscan,25.0,45.68763766666667,4.769887333333333,21
dbscan,26.0,45.73776906666667,4.7251233333333325,15
dbscan,27.0,45.785984223463686,4.731975681564245,179
dbscan,28.0,45.707417,4.753943214285714,14
dbscan,29.0,45.7715574,4.9693067,10
dbscan,30.0,45.81570865384616,4.81794625,52
dbscan,31.0,45.79246753125,4.9903414375,32
dbscan,32.0,45.73134148387097,4.783065870967742,31
dbscan,33.0,45.77247411111111,4.9569155,54
dbscan,34.0,45.84221088059702,4.9147212686567165,134
dbscan,35.0,45.7648389375,5.0037075625,32
dbscan,36.0,45.70944644,4.74558708,25
dbscan,37.0,45.81860220588235,4.864236558823529,34
dbscan,38.0,45.756982888888885,4.726543277777778,18
dbscan,39.0,45.72056596666666,4.9682821,30
